timestamp,ref_x,ref_y,ref_yaw,ref_v,ref_w,vir_x,vir_y,vir_yaw,vir_v,vir_vx,vir_vy,vir_w,e_Vx,e_Vy,e_Vyaw,e_Vv,e_Vw,u_steer,u_vel,comp_time_ms,min_cost,mean_cost
1765962442.8931406,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.29560956754108,-7.362996559503646,1.57073227777068,0.0,0.0,0.0,-0.0,-1.8768009100835073e-08,8.603141635295267e-07,-4.186217172907902e-08,0.1605028510093689,0.0,-0.08,0.008866429328918457,237.67828941345215,28147.740234375,29305.40625
1765962442.908198,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.29560956754108,-7.362996559503646,1.57073227777068,0.0,0.0,-0.0001585815076022336,7.280277459127727e-09,-1.8768009100835073e-08,8.603141635295267e-07,-4.186217172907902e-08,0.1605028510093689,-7.280277459127727e-09,0.0,0.10886642932891846,14.78719711303711,28135.275390625,29331.384765625
1765962442.9616992,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.295685726855133,-7.364174821743824,1.5707131030108314,-0.024266362497195805,-0.024265995400612184,-0.0001334768248776189,0.0007754619899934035,0.001178249789858809,-7.520094054231151e-05,1.9132897676854554e-05,0.1847688464099811,-0.0007754619899934035,-0.08,0.008866429328918457,17.957210540771484,28415.26953125,29469.48046875
1765962443.0127032,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.295694366645645,-7.363805273020626,1.5707136356430496,-7.6394439264301e-05,-5.301051841072248e-05,-5.500904733162925e-05,-1.2588755522991261e-08,0.0008087017423033828,-8.387191700757786e-05,1.8600265458745824e-05,0.16055586152777962,1.2588755522991261e-08,-0.10186338424682617,0.10886642932891846,19.118785858154297,28110.130859375,29267.470703125
1765962443.069331,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.29571423688376,-7.363351802157219,1.5707233561810283,0.041659999629023656,0.03991448091858836,-0.011932718973054575,-0.005119371156770051,0.0003552315147286034,-0.00010378310613018436,8.879727479982336e-06,0.12058837009078054,0.005119371156770051,-0.02186338424682617,0.20886642932891847,25.721073150634766,27954.49609375,29085.27734375
1765962443.1151466,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.295818052050812,-7.356262437201925,1.5702720835343145,0.08627561288812112,0.08625144796407964,-0.0020418382209648448,0.014635556774828275,-0.006734031243672361,-0.00021115449371716835,0.00046015237419383404,0.07425140304528925,-0.014635556774828275,-0.10186338424682617,0.3088664293289185,20.00117301940918,27713.291015625,28863.48046875
1765962443.1615138,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.295453876369624,-7.341661854914888,1.5699979111000908,0.1744295705281619,0.17343262612855687,-0.018622547322834894,-0.004369353733438632,-0.021334841494717847,0.00013951746080427419,0.000734324808417508,-0.01292977511918797,0.004369353733438632,-0.1818633842468262,0.4088664293289185,17.664670944213867,27429.30859375,28351.724609375
1765962443.214007,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.29531372889668,-7.315621606230071,1.568359534397474,0.34840924509313165,0.33754487390998683,-0.08632763267608452,-0.04128017035158351,-0.047375554324327836,0.00018125522155726633,0.002372701511034192,-0.17704202290061793,0.04128017035158351,-0.10186338424682619,0.5088664293289185,20.41316032409668,26453.138671875,27568.439453125
1765962443.2642365,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.29282733145508,-7.231391765366581,1.5617262659123592,0.024675345907763338,0.02433477157595562,-0.0040855339937192195,1.0191637221011225e-05,-0.13162464209372407,0.0015893346263122408,0.00900596999614911,0.13616807943341327,-1.0191637221011225e-05,-0.03368910774588585,0.4088664293289185,20.47133445739746,27442.99609375,28476.689453125
1765962443.3117862,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.29248763982677,-7.22914964423395,1.5618498365869389,0.10538370573281684,0.10492948998063523,-0.009773820460019947,-0.015253375817915731,-0.1338695151048158,0.001925218746773252,0.008882399321569423,0.05557336102873367,0.015253375817915731,-0.11368910774588585,0.371051162481308,18.108367919921875,26925.12109375,28074.91796875
1765962443.3731456,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.29119594358561,-7.1610968533900135,1.5593740288795466,0.4986457320817613,0.49421989109545816,-0.06628925530543477,-0.02219350495904037,-0.20193697661131646,0.002108087638209332,0.011358207028961731,-0.33371704008608927,0.02219350495904037,-0.03368910774588585,0.47105116248130796,29.29520606994629,25156.244140625,26240.708984375
1765962443.416094,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.289645134764942,-7.102770967555836,1.556446016419059,0.02179832153519235,0.02159840076266329,-0.0029454891354436137,-5.464687816658496e-06,-0.260284417676635,0.002230488768301643,0.014286219489449305,0.1389044502467056,5.464687816658496e-06,-0.11368910774588585,0.371051162481308,22.46856689453125,26707.482421875,27757.033203125
1765962443.4611833,-18.29561,-7.3629966,1.5707322,0.16050285,0.0,-18.289725353994548,-7.104029311855133,1.5564448179965684,0.012166800242828396,0.0018969996662788686,-0.012018004011275207,-0.005352429481219659,-0.25902505440848284,0.0021680243884231428,0.014287417911939881,0.15860585134309002,0.005352429481219659,-0.03368910774588585,0.47105116248130796,17.560958862304688,26570.9296875,27877.626953125
