timestamp,ref_x,ref_y,ref_yaw,ref_v,ref_w,act_x,act_y,act_yaw,act_v,act_vx,act_vy,act_w,error_lon,error_lat,error_yaw,error_v,error_w,cmd_steer,cmd_accel,cmd_gear,comp_time_ms,min_cost,mean_cost
1765767409.8253,-18.29578,-7.362922,1.5707653,0.0,0.0,-18.296082513637497,-7.363068087590917,1.570762904123216,0.0,0.0,0.0,-0.0,0.00014590607569728333,-0.0003023268763295304,2.3527584978033644e-06,0.0,0.0,-0.021929726,0.027018919587135315,1,253.67999076843262,11.782480239868164,67.80784606933594
1765767409.8352642,-18.29578,-7.3201942,1.5707653,0.04793007,0.0,-18.296082513637497,-7.363068087590917,1.570762904123216,0.0,0.0,0.0,-0.0,0.04287385328693955,-0.00030089879417777315,2.3527584978033644e-06,0.047930069267749786,0.0,-0.0015919227,0.06506121158599854,1,9.732961654663086,43.80125427246094,84.5912857055664
1765767409.8857064,-18.29578,-7.311767,1.5707653,0.057383448,0.0,-18.296017025499758,-7.361553653706157,1.5707927315274248,0.05376607792801722,0.053765059707453676,-0.0003308933598030161,-0.0005769306778276832,0.049786553269510016,-0.00023666461901823767,-2.747464571095648e-05,0.0036183881780596297,0.0005769306778276832,-0.014393564,0.09033264517784119,1,10.079622268676758,46.982582092285156,58.810142517089844
1765767409.9371097,-18.295778,-7.303355,1.5707653,0.06681963,0.0,-18.2959998540651,-7.35978315729308,1.5707882041535717,0.053497483780082046,0.05348084460765797,-0.0013341779685194875,-0.0012397949841517959,0.05642794211104917,-0.0002211211850414453,-2.2947271857809426e-05,0.013338785955601153,0.0012397949841517959,0.005600538,0.1016358631849289,1,11.476993560791016,52.313392639160156,64.42855072021484
1765767409.9868107,-18.295778,-7.294939,1.5707653,0.07626014,0.0,-18.296095392765235,-7.358184319944501,1.5707427972569858,0.053793513253024255,0.05378144849351707,0.0011392392384685507,0.0027476891468851076,0.0632452956913858,-0.0003137327380996781,2.2459624728021765e-05,0.022478693534814687,-0.0027476891468851076,-0.004187988,0.10757468926906585,1,11.177539825439453,49.774784088134766,68.50777435302734
1765767410.037827,-18.295778,-7.2865267,1.5707653,0.085697,0.0,-18.296256994764818,-7.356717082964802,1.570679680339151,0.05000503623201929,0.05000498613141043,7.078533048892553e-05,0.0007710527549024922,0.07019045833562473,-0.0004705327637125723,8.557654256291514e-05,0.03569201657750146,-0.0007710527549024922,-0.030325068,0.11714800469875336,1,12.19630241394043,59.636329650878906,76.42214965820312
1765767410.0862029,-18.295778,-7.2781086,1.5707653,0.09513998,0.0,-18.296252604905344,-7.355110616074934,1.5706675629561913,0.05024005722639961,0.05018963624592454,-0.0022502807855211823,-0.0017266779177326627,0.07700207971142357,-0.00046441528971712006,9.76939255226128e-05,0.04495034407023757,0.0017266779177326627,-0.043431673,0.12581412358760835,1,10.547161102294922,69.08426666259766,83.98043823242188
1765767410.148701,-18.295778,-7.2696967,1.5707653,0.10457607,0.0,-18.296226542956727,-7.353316271232029,1.5706399992389088,0.05228416117041501,0.05214189706290592,-0.003854358568589044,-0.002405813904250267,0.08361962779307895,-0.0004351963739201187,0.00012525764280502116,0.05243417652403484,0.002405813904250267,-0.024611492,0.1353413305501938,1,23.011445999145508,76.848388671875,90.39360046386719
1765767410.1916485,-18.295778,-7.261284,1.5707653,0.114013165,0.0,-18.296195882801356,-7.351396040592601,1.5706140334182805,0.02157579343382751,0.02157344362834638,-0.0003184215975015067,0.0007120038546438592,0.09011224071084918,-0.0004011814073467976,0.00015122346343332538,0.09243972160717304,-0.0007120038546438592,-0.02784437,0.1496057237279892,1,15.999317169189453,97.81407928466797,117.22607421875
1765767410.235716,-18.295778,-7.252868,1.5707653,0.12345358,0.0,-18.296188232218416,-7.350099037686862,1.570595923922868,0.022497080835996587,0.022360766594968662,-0.002472804769224306,-0.001771960368753904,0.09723094238450694,-0.0003904723301505929,0.0001693329588459136,0.10109281324807562,0.001771960368753904,-0.039165843,0.16329401881053923,1,10.057687759399414,106.20591735839844,127.52545928955078
