timestamp,ref_x,ref_y,ref_yaw,ref_v,ref_w,vir_x,vir_y,vir_yaw,vir_v,vir_vx,vir_vy,vir_w,e_Vx,e_Vy,e_Vyaw,e_Vv,e_Vw,u_Vsteer,u_Vaccel,cmd_gear,comp_time_ms,min_cost,mean_cost,ref_Px,ref_Py,ref_Pyaw,ref_Pv,ref_Pw,phy_x,phy_y,phy_yaw,phy_v,phy_w,e_Px,e_Py,e_Pyaw,e_Pv,e_Pw,u_Pv,u_Pw,phy_v_hat,phy_f_hat,phy_tau
1765881608.757017,-18.294914,-7.36284,1.5707592,0.0,0.0,-18.295145662480333,-7.362968428292476,1.5707574446429813,0.0,0.0,0.0,-0.0,0.00012826166170268945,-0.00023141188795023328,1.7325649654953423e-06,0.0,0.0,0.013556895,0.030822113,1,236.6020679473877,22.126018524169922,84.24304962158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881608.7842078,-18.294912,-7.3060308,1.5707592,0.023873568,0.0,-18.295145662480333,-7.362968428292476,1.5707574446429813,0.0,0.0,0.001146803974164397,0.0003594849077036301,0.056937687046925554,-0.00023111036387532318,1.7325649654953423e-06,0.023873567581176758,-0.0003594849,-0.026745737,0.06936076,1,26.62801742553711,62.01774597167969,97.13231658935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881608.8526027,-18.29491,-7.294092,1.5707592,0.028890634,0.0,-18.29512649144158,-7.3620729287970255,1.5707699615001047,0.05079599435910541,0.05073950005715811,-0.0023950317074978742,-0.001392857957172336,0.06798075612517086,-0.00021426820077490318,-1.0784292157950404e-05,-0.021848866101560234,0.001392858,-0.02182896,0.094276816,1,44.8763370513916,63.7091064453125,75.755615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881608.8849418,-18.29491,-7.282211,1.5707592,0.03388357,0.0,-18.295091705392895,-7.360686762973654,1.5707657004423605,0.05604165730758936,0.05599965042278916,-0.002169448387653758,0.006112835833545639,0.07847594161484713,-0.0001788710529230609,-6.5232344137466924e-06,-0.022116078798033303,-0.006112836,-0.02449474,0.11044463,1,27.10413932800293,63.905853271484375,78.47443389892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881608.936061,-18.29491,-7.2702966,1.5707592,0.038890384,0.0,-18.29486448592099,-7.358546239846822,1.570843997378409,0.054229448342461586,0.05418636020326625,-0.002161350376406704,0.0006530110004023072,0.08824966829785733,4.1738074080374484e-05,-8.482017046218537e-05,-0.015295976065635784,-0.000653011,-0.007176554,0.12376979,1,28.402090072631836,69.2117691040039,81.75250244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881608.9863977,-18.29491,-7.258376,1.5707592,0.043899726,0.0,-18.294756144457754,-7.357506731016448,1.570878884788689,0.05228485302410858,0.05227262062483175,-0.0011309238546653763,-0.0007869678731961304,0.09913062189520355,0.00014610242568949193,-0.000119707580742201,-0.008372894502214026,0.00078696787,0.008401245,0.133893,1,28.659582138061523,75.02078247070312,88.05081939697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.0347064,-18.29491,-7.2464824,1.5707592,0.04889803,0.0,-18.29469164552821,-7.354566074432282,1.5708911353297033,0.06453712351882653,0.06453621853518413,0.0003417737017825577,-0.00033909657603508085,0.10808372240530383,0.00020853812158732162,-0.00013195812175648136,-0.015638188462733488,0.0003390966,-0.017293725,0.1381348,1,26.973724365234375,75.97037506103516,86.77777862548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.0985918,-18.294909,-7.234595,1.5707592,0.05389359,0.0,-18.29470241690552,-7.352956272122275,1.5708915348038668,0.06814834932725161,0.06812673005168643,-0.0017164406467337786,-0.0012887665894760424,0.11836146927889973,0.00019483769512255352,-0.00013235759592000737,-0.014233141568352842,0.0012887666,-0.022296563,0.14184165,1,40.886878967285156,76.26461791992188,89.15128326416016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.138886,-18.294909,-7.2227144,1.5707592,0.05888629,0.0,-18.294712478489426,-7.349204998348153,1.570860642135222,0.07677184574934272,0.07673294392612909,-0.0024436890535418903,-0.001845922515986912,0.1264905865619457,0.00018790978541548142,-0.00010146492727525214,-0.01784665432957147,0.0018459226,-0.03820628,0.13569862,1,31.265974044799805,74.10728454589844,86.39922332763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.189156,-18.294909,-7.2108083,1.5707592,0.0638897,0.0,-18.294712660351824,-7.346009715375542,1.5708242899863423,0.08327487545380036,0.08314766585564386,-0.004601146009871707,-0.0027713585112218372,0.13520144366951609,0.00019208254396931468,-6.511277839549301e-05,-0.01925796866154443,0.0027713585,-0.0054795966,0.13402778,1,31.498432159423828,73.59056091308594,85.74805450439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.236294,-18.294909,-7.1989126,1.5707592,0.06888869,0.0,-18.29476977751997,-7.34194849089384,1.5707360061962061,0.07012556716333955,0.0701205617273739,-0.0008378502357779705,0.0012018532609965732,0.14303586171993862,0.0001473740486756652,2.3171011740652503e-05,-0.0012318751300266356,-0.0012018533,-0.020856023,0.13493398,1,28.61332893371582,83.1668472290039,97.8198013305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.2860255,-18.294907,-7.1870103,1.5707592,0.073890544,0.0,-18.29473993795331,-7.339059811794409,1.5707401340958957,0.07633561099990124,0.07630037423995506,-0.0023191372471345296,0.015325262441996456,0.15204951394972543,0.00017522233047070242,1.9043112051031486e-05,-0.0024098297658301515,-0.015325262,0.016550135,0.13226631,1,26.769399642944336,85.5077133178711,98.46720886230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.3381622,-18.294907,-7.1751156,1.5707592,0.078889176,0.0,-18.2945010289636,-7.332554325089412,1.5708004546945862,0.10729120770927998,0.10729075332634247,0.0003122537138197977,0.016464919578306533,0.157438741435146,0.00040493735600741605,-4.127748663940167e-05,-0.02840157707683838,-0.016464919,0.041874565,0.12881535,1,30.489206314086914,73.43415832519531,85.61849212646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765881609.3826025,-18.294907,-7.1632137,1.5707592,0.083890796,0.0,-18.29437668492918,-7.329608897295629,1.5708708953054187,0.09738045241593901,0.09726828093603286,0.004672690497127897,-0.0002772791520753706,0.16639520649080008,0.0005175234405020159,-0.00011171809747190231,-0.013377485228330224,0.00027727915,0.037214797,0.13000895,1,24.784326553344727,78.64249420166016,92.8826904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
