timestamp,ref_x,ref_y,ref_yaw,ref_v,ref_w,vir_x,vir_y,vir_yaw,vir_v,vir_vx,vir_vy,vir_w,e_Vx,e_Vy,e_Vyaw,e_Vv,e_Vw,u_Vsteer,u_Vaccel,cmd_gear,comp_time_ms,min_cost,mean_cost,ref_Px,ref_Py,ref_Pyaw,ref_Pv,ref_Pw,phy_x,phy_y,phy_yaw,phy_v,phy_w,e_Px,e_Py,e_Pyaw,e_Pv,e_Pw,u_Pv,u_Pw,phy_v_hat,phy_f_hat,phy_tau
1765972634.2819445,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.29549449628439,-7.3629722436291445,1.5707688962356687,0.0,0.0,0.0,-0.0,-0.0008030853615402305,0.0027594947490899744,2.3659573352263763e-05,0.08484848588705063,0.0,0.08,0.1,1,260.1044178009033,53570.1328125,55577.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.3046846,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.29549449628439,-7.3629722436291445,1.5707688962356687,0.0,0.0,0.0,-0.0,-0.0008030853615402305,0.0027594947490899744,2.3659573352263763e-05,0.08484848588705063,0.0,0.0,0.2,1,22.440671920776367,53562.80859375,55617.03515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.3554447,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.295481960135074,-7.361566528317386,1.5707944625821335,0.050946698614116,0.050946678837844046,4.488954379816672e-05,-0.00581123804158067,-0.0022087301462049296,0.002772048808911108,-1.906773112514415e-06,0.03390180704920658,0.00581123804158067,-0.08,0.30000000000000004,1,22.93848991394043,53279.0546875,55315.01171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.4040356,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.295642873529548,-7.359957674604272,1.5707181630169027,0.031728823397744445,0.03171912217716404,0.000784552429984936,-0.00013828137241865407,-0.0038177827764953863,0.0026108411276257256,7.439279211829408e-05,0.053129363709886586,0.00013828137241865407,-0.16,0.4,1,21.526575088500977,53454.9375,55449.76171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.45616,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.295620185304468,-7.356849146315746,1.5706013834031027,0.037361127253997956,0.03735512165399328,-0.0006698626014272503,0.0002150949908078334,-0.006926620295859668,0.0026324775082305625,0.00019117240591826065,0.04749336423305735,-0.0002150949908078334,-0.1320987492799759,0.5,1,23.68760108947754,53250.8046875,55397.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.5058696,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.295664823691265,-7.35445484394907,1.570395920525003,0.05689263622841768,0.055736731030696776,-0.011410033787453314,0.009414156899835116,-0.00932144532731015,0.00258545721246169,0.0003966352840178989,0.029111754856353853,-0.009414156899835116,-0.0771726444363594,0.6,1,21.60501480102539,53273.16015625,55260.08984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.5563993,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.2959294624937,-7.346724276546881,1.5698876562309614,0.17575111477979763,0.17517934867839036,-0.014165102998444323,-0.018801103783470188,-0.01705308196005824,0.002309055889628023,0.0009048995780596147,-0.09033086279133973,0.018801103783470188,0.002827355563640596,0.5,1,23.87380599975586,52353.234375,54608.5390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.6081736,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.29617804386229,-7.338910707838691,1.5695599542588272,0.22885704646932828,0.22882099010117637,-0.004062290952360604,-0.006684776205221327,-0.024867093123675528,0.002045225779258665,0.001232601550193779,-0.14397250421412575,0.006684776205221327,-0.0771726444363594,0.4,1,25.738000869750977,52162.4765625,54316.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.655083,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.296893043740916,-7.3212581551221945,1.569150093767064,0.16166509894144973,0.16166496289929122,-0.00020972963434628567,-3.499345558613956e-05,-0.04251928103291411,0.001290974456791529,0.0016424620419570601,-0.07681647701224059,3.499345558613956e-05,0.002827355563640596,0.5,1,22.57990837097168,52256.40234375,54429.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765972634.7068644,-18.298254,-7.3637753,1.5707926,0.084848486,0.0,-18.29695799642551,-7.32171494291712,1.5691421042837939,0.018658017978340134,0.018657971763627934,-4.152767422304103e-05,-0.0028935440299454824,-0.04206239672969472,0.0012264377822517251,0.0016504515252271368,0.0661905141234227,0.0028935440299454824,0.07520578801631927,0.4,1,24.43408966064453,53115.04296875,55025.45703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
