timestamp,ref_x,ref_y,ref_yaw,ref_v,ref_w,vir_x,vir_y,vir_yaw,vir_v,vir_vx,vir_vy,vir_w,e_Vx,e_Vy,e_Vyaw,e_Vv,e_Vw,u_Vsteer,u_Vaccel,cmd_gear,comp_time_ms,min_cost,mean_cost
1765772687.6724308,-18.295515,-7.362914,1.5707743,0.0,0.0,-18.295909403982172,-7.3630604586259985,1.5707716925548132,0.0,0.0,0.0,-0.0,0.00014638295212430992,-0.0003943399514543146,2.6242329065340186e-06,0.0,0.0,-0.021028299,0.023256498575210574,1,246.80614471435547,10.783882141113281,67.19361114501953
1765772687.684386,-18.295515,-7.321329,1.5707743,0.0466482,0.0,-18.295909403982172,-7.3630604586259985,1.5707716925548132,0.0,0.0,0.0,-0.0,0.04173135150640102,-0.0003933155373548796,2.6242329065340186e-06,0.04664820060133934,0.0,0.0070395544,0.05631896138191224,1,11.626958847045898,42.93568420410156,84.52791595458984
1765772687.7383735,-18.295515,-7.312876,1.5707743,0.056129973,0.0,-18.29597443834658,-7.362720471339649,1.5707376040928602,0.013832177663046239,0.013830925804550405,0.00018609215753774317,0.00035252385584311723,0.04984427371179877,-0.00045645093213025927,3.671269485949757e-05,0.04229904757720733,-0.00035252385584311723,-0.0033099828,0.08445238041877748,1,15.439271926879883,60.45194625854492,78.38297271728516
1765772687.784451,-18.295515,-7.3044896,1.5707743,0.065537855,0.0,-18.296060234604663,-7.360771634234798,1.570708176162815,0.013391315025993673,0.013387429898756074,-0.0003225505096815772,-0.001124657219566828,0.05628206949422985,-0.0005402128819632945,6.614062490473138e-05,0.052150425130350064,0.001124657219566828,0.007196201,0.10459088068008424,1,11.656522750854492,70.67454528808594,86.31722259521484
1765772687.834724,-18.295515,-7.2960744,1.5707743,0.07497769,0.0,-18.296084565769572,-7.359704947385929,1.5706948603573645,0.050695889358942516,0.05069525858544395,-0.000252892959793175,0.0007803466409507858,0.06363061443267784,-0.0005630489759124396,7.94564303552292e-05,0.0242824299059005,-0.0007803466409507858,0.04021039,0.113407485370636,1,11.914491653442383,64.87312316894531,74.15794372558594
1765772687.8848922,-18.295515,-7.2876635,1.5707743,0.084412836,0.0,-18.296051943089623,-7.357418516666492,1.5707176303846846,0.011603107117716196,0.01155922676151939,-0.0010081524988662146,0.0007302162094520157,0.06975509892339729,-0.0005313931905898971,5.668640303513328e-05,0.0728536087768679,-0.0007302162094520157,0.021568704,0.13175264756965638,1,12.10474967956543,81.19530487060547,99.50747680664062
1765772687.9331617,-18.295513,-7.279226,1.5707743,0.09387782,0.0,-18.29607451477965,-7.356335144671041,1.5707348077737158,0.051837070522116016,0.05180325581506165,0.001872048950778272,0.00013797884095986164,0.07710935279612219,-0.000556618012627351,3.9509014003957794e-05,0.042074566345659176,-0.00013797884095986164,-0.013554553,0.14100131846122743,1,10.245561599731445,72.02234649658203,85.41539764404297
1765772687.9818769,-18.295513,-7.270836,1.5707743,0.10328922,0.0,-18.296051558176977,-7.354427798735746,1.5707722251870313,0.01795262454171667,0.017945776856270745,0.0004958033489045257,0.0013062164063627037,0.08359193522305236,-0.0005363904009175877,2.091600688425288e-06,0.08534343990054993,-0.0013062164063627037,0.01472573,0.1515086022415924,1,9.08350944519043,89.71807098388672,110.45333099365234
1765772688.033554,-18.295513,-7.2624116,1.5707743,0.11273908,0.0,-18.295922138326222,-7.3522968135076265,1.5708196294544348,0.0536351216914514,0.053630275703232894,0.0007209763186316218,8.294434232986817e-05,0.0898852095619089,-0.00041107981459797703,-4.531266671503609e-05,0.059108802997309556,-8.294434232986817e-05,-0.008119684,0.15415517851109312,1,10.684013366699219,82.66486358642578,97.81099700927734
1765772688.0944564,-18.295513,-7.2540107,1.5707743,0.12216285,0.0,-18.295896337694984,-7.350042804090602,1.5708236241960698,0.06282433816930084,0.06281704825731811,-0.0009570342984651252,-0.0012468631541250018,0.09603211625723246,-0.0003858060461584371,-4.930740835007441e-05,0.05934580045369568,0.0012468631541250018,-0.031755935,0.16151327111956482,1,21.66438102722168,82.77725982666016,97.43013000488281
1765772688.1329377,-18.295513,-7.2455935,1.5707743,0.13160501,0.0,-18.295886684860015,-7.34833906506804,1.5708202952447072,0.06464137191671805,0.06464134896154813,-5.447666312786127e-05,0.0008642182051412615,0.10274550826450432,-0.0003759944345092313,-4.597845698750547e-05,0.06696366524343081,-0.0008642182051412615,0.01380942,0.17448153626106383,1,10.132551193237305,86.1322021484375,103.4101333618164
1765772688.182062,-18.295513,-7.2371845,1.5707743,0.14103773,0.0,-18.295868400179984,-7.3457045396435,1.5708232247219063,0.032817372188141264,0.0328170918815925,-0.00013563837990500436,0.000769916035045611,0.10852000551269961,-0.00035816606712854435,-4.890793418654837e-05,0.10822064048115469,-0.000769916035045611,-0.016951771,0.17925882060040355,1,9.279966354370117,108.76058959960938,132.35716247558594
1765772688.2334611,-18.295513,-7.2287726,1.5707743,0.15047397,0.0,-18.2958716688485,-7.34314153920154,1.5708360078951387,0.033898311814183915,0.0338970093889318,0.0002971503631329397,0.001036213158627795,0.11436888465692573,-0.0003630540557877662,-6.169110741893746e-05,0.11657695780562538,-0.001036213158627795,0.002479881,0.18742397855943038,1,10.67042350769043,124.5633544921875,144.34925842285156
