timestamp,ref_x,ref_y,ref_yaw,ref_v,act_x,act_y,act_yaw,act_v,error_lat,error_yaw,error_v,cmd_steer,cmd_accel,cmd_gear,comp_time_ms
1765281686.421812,-18.294964,-7.362861,1.5707667,0.0,-18.295137705998247,-7.362966521420141,1.5707655672843062,0.0,0.00017386620537088873,-1.1201088823131755e-06,0.0,0.017447187,0.008627408,1,286.3898277282715
1765281686.4530292,-18.294964,-7.362861,1.5707667,0.0,-18.295137705998247,-7.362966521420141,1.5707655672843062,0.0,0.00017386620537088873,-1.1201088823131755e-06,0.0,0.0027557025,0.0120854955,1,30.811071395874023
1765281686.5116878,-18.294964,-7.362861,1.5707667,0.0,-18.295582011846186,-7.360860292627748,1.570578746533837,0.0659121430029505,0.0006182344806694519,-0.0001879408593514764,0.0659121430029505,-0.015424279,0.0025216355,1,39.21365737915039
1765281686.5614922,-18.294964,-7.362861,1.5707667,0.0,-18.295664331087334,-7.359164648568448,1.5705502507101732,0.06785385871055606,0.0007006039796917163,-0.0002164366830152975,0.06785385871055606,-0.011503322,-0.01072034,1,38.80739212036133
1765281686.6068814,-18.294964,-7.362861,1.5707667,0.0,-18.2956717230007,-7.355499673430065,1.570539065433595,0.04269625726551299,0.0007081045207269921,-0.00022762195959358242,0.04269625726551299,-0.045809694,-0.01957247,1,34.459590911865234
1765281686.6605399,-18.294964,-7.362861,1.5707667,0.0,-18.295655445869798,-7.353403970901771,1.570531741740597,0.04735054665324321,0.0006918895051909543,-0.00023494565259141176,0.04735054665324321,-0.063045144,-0.01615331,1,38.103580474853516
1765281686.7086957,-18.294964,-7.362861,1.5707667,0.0,-18.295632818556907,-7.349944484958293,1.5704670269261083,0.08392181464335856,0.0006693647293910289,-0.00029966046708018723,0.08392181464335856,-0.06993432,-0.03889852,1,36.26203536987305
1765281686.7584977,-18.294964,-7.362861,1.5707667,0.0,-18.295450543822607,-7.345703460847538,1.570409902120726,0.10661054221397942,0.0004872156965052637,-0.0003567852724624121,0.10661054221397942,-0.07129314,-0.06327384,1,36.07344627380371
1765281686.8107355,-18.294964,-7.362861,1.5707667,0.0,-18.295061014310868,-7.337414542951965,1.5703297409719146,0.014051621579470574,9.793186332678735e-05,-0.0004369464212738983,0.014051621579470574,-0.037838012,-0.066443644,1,38.16509246826172
1765281686.904908,-18.294964,-7.362861,1.5707667,0.0,-18.295087941429866,-7.337662021332432,1.5703296078138602,0.004916427445432049,0.00012485164721438198,-0.0004370795793282589,0.004916427445432049,-0.004965865,-0.04223664,1,69.19622421264648
1765281686.943135,-18.294964,-7.362861,1.5707667,0.0,-18.295025900712737,-7.332010944473913,1.5702373292820888,0.05499691042820073,6.297842461826055e-05,-0.0005293581110996648,0.05499691042820073,0.043565013,-0.05271268,1,37.47081756591797
1765281686.9778001,-18.294964,-7.362861,1.5707667,0.0,-18.295118128339443,-7.328668696455127,1.5701429202214456,0.12160003203107683,0.00015530511355287536,-0.0006237671717428394,0.12160003203107683,0.037914097,-0.077360146,1,34.095048904418945
1765281687.0100253,-18.294964,-7.362861,1.5707667,0.0,-18.2951701515818,-7.326191015785201,1.5701120275528007,0.004059667387327892,0.00020740179288124657,-0.0006546598403878167,0.004059667387327892,0.055922233,-0.061537106,1,31.704187393188477
1765281687.0593765,-18.294964,-7.362861,1.5707667,0.0,-18.295437158708115,-7.325313015750606,1.5699976447839818,0.0467987507078759,0.0004744349425909849,-0.0007690426092066271,0.0467987507078759,0.065965466,-0.048701048,1,36.78083419799805
1765281687.111622,-18.294964,-7.362861,1.5707667,0.0,-18.29603848724671,-7.320701324755261,1.5698614240942241,0.08383035759479057,0.0010759001689463628,-0.0009052632989643429,0.08383035759479057,0.015659783,-0.046277657,1,39.095163345336914
1765281687.1571038,-18.294964,-7.362861,1.5707667,0.0,-18.29601381891262,-7.317721253642479,1.5699700810666994,0.12223528383689007,0.0010513201623771045,-0.0007966063264890355,0.12223528383689007,-0.022652157,-0.0413519,1,34.61885452270508
1765281687.2099469,-18.294964,-7.362861,1.5707667,0.0,-18.29617061962949,-7.308290783373126,1.5699268046989856,0.1922914759052015,0.0012084003927359936,-0.0008398826942028759,0.1922914759052015,-0.0008955654,-0.093268335,1,37.40882873535156
1765281687.2573853,-18.294964,-7.362861,1.5707667,0.0,-18.296087297453145,-7.300372809093773,1.5698652856778048,0.23593275083553059,0.0011253129004061555,-0.0009014017153836651,0.23593275083553059,0.004962568,-0.14980298,1,34.818172454833984
1765281687.3100822,-18.294964,-7.362861,1.5707667,0.0,-18.296011159352993,-7.2991121089339845,1.569902569933066,-0.010790195609027753,0.001049212166651963,-0.0008641174601224932,-0.010790195609027753,0.00637962,-0.13312955,1,37.24026679992676
1765281687.3944795,-18.294964,-7.362861,1.5707667,0.0,-18.296024953969546,-7.299038668777356,1.569897776243104,-0.0006462493590474791,0.0010630089599272543,-0.0008689111500845836,-0.0006462493590474791,0.017496176,-0.07859919,1,60.75310707092285
1765281687.426719,-18.294964,-7.362861,1.5707667,0.0,-18.29597404927631,-7.2966812275215585,1.5699257394345496,0.0517929432086665,0.0010121741398381185,-0.0008409479586388713,0.0517929432086665,0.025271416,-0.053920936,1,31.911611557006836
1765281687.457897,-18.294964,-7.362861,1.5707667,0.0,-18.295972033783517,-7.296100444928466,1.5699292015439668,0.05422082678859816,0.0010101758610931621,-0.0008374858492217196,0.05422082678859816,-0.022101987,-0.040432468,1,30.558109283447266
