timestamp,ref_x,ref_y,ref_yaw,ref_v,act_x,act_y,act_yaw,act_v,act_vx,act_vy,error_lon,error_lat,error_yaw,error_v,cmd_steer,cmd_accel,cmd_gear,comp_time_ms,min_cost,mean_cost
1765552399.933439,-18.295292,-7.36291,1.5707659,0.0,-18.295646965434724,-7.363052828824204,1.5707633035973796,0.0,0.0,0.0,-0.00014304579064101016,0.00035506044112965004,-2.549330782031234e-06,0.0,0.013662674,0.041809429228305814,1,241.96743965148926,0.7496806383132935,30.651344299316406
1765552399.938992,-18.29529,-7.331296,1.5707659,0.027506532,-18.295646965434724,-7.363052828824204,1.5707633035973796,0.0,0.0,0.0,-0.03175687260047428,0.00035600439424257954,-2.549330782031234e-06,-0.02750653214752674,0.0006788904,0.10574312075972556,1,5.308628082275391,1.2169359922409058,23.988473892211914
1765552399.9895513,-18.29529,-7.324748,1.5707659,0.033203855,-18.295624763208036,-7.362290843552224,1.570774222557849,0.05097692567255583,0.05097659710548727,-0.0001830261459704752,-0.03754281450835256,0.0003336258475153805,8.369629687310363e-06,0.01777274194858877,-0.03371722,0.15426568235456942,1,5.711793899536133,1.3494986295700073,27.610929489135742
1765552400.0405073,-18.29529,-7.3182325,1.5707659,0.038873076,-18.29561050951799,-7.361196502112013,1.5707702278162137,0.04885914977265376,0.04879090595987548,-0.002581474795770651,-0.04296397556346366,0.00031920695371970845,4.374888052049997e-06,0.009917829520971672,-0.019435018,0.16447166782468556,1,6.7424774169921875,1.655482292175293,26.64820098876953
1765552400.089384,-18.29529,-7.3117075,1.5707659,0.044550173,-18.295581891343048,-7.359140856785696,1.570763436755434,0.01461379908933217,0.01461353142269239,8.844874983802588e-05,-0.0474333690378916,0.00029045257905440194,-2.4161727276705847e-06,-0.029936641561907677,-0.0352628,0.18665598707690834,1,5.616188049316406,1.5034544467926025,27.635038375854492
1765552400.141431,-18.29529,-7.3051796,1.5707659,0.05023025,-18.295593979015994,-7.358338337908195,1.5707381367250783,0.04539971660853608,0.0453150228582235,-0.0027718173630432875,-0.05315875122454935,0.00030236577748226306,-2.7716203083283375e-05,-0.004915226904311593,-0.0303299,0.2032237719904035,1,7.653236389160156,1.5314149856567383,24.94011878967285
1765552400.1907523,-18.29529,-7.298656,1.5707659,0.05590613,-18.2955852915526,-7.355857348694318,1.5706968577281821,0.048697691337733356,0.048633593160964377,-0.0024977505637972823,-0.057201370907309305,0.0002935551198315111,-6.899519997949355e-05,-0.00727253497733938,-0.059741423,0.20281355281546262,1,6.992340087890625,1.2555294036865234,25.8471736907959
1765552400.2392848,-18.29529,-7.2921257,1.5707659,0.061588045,-18.295568009323073,-7.355186438245776,1.5706935287768196,0.017682670414342218,0.01767603927557043,0.00048421948612714893,-0.06306074481370291,0.0002760943325119012,-7.232415134206249e-05,-0.04391200593407579,0.010656182,0.2082918479036508,1,5.482673645019531,1.9175125360488892,28.805561065673828
1765552400.289175,-18.29529,-7.2856054,1.5707659,0.067261055,-18.295647244406673,-7.352662521337632,1.5706181613179702,0.0574420184892635,0.05742939431787717,0.0012042243988009754,-0.06705710162142764,0.0003552076317437561,-0.00014769161019145827,-0.0098316607940079,-0.009105427,0.21157556333083438,1,5.41234016418457,1.2656689882278442,25.23716163635254
1765552400.338869,-18.29529,-7.2790794,1.5707659,0.07293926,-18.295827117841192,-7.352149893141107,1.5705407964883034,0.0061541470480292,0.00609715744122826,0.0008355818485590596,-0.073070472253509,0.000534897815778643,-0.00022505643985826218,-0.06684210435286202,-0.042976826,0.23316979696906576,1,5.111932754516602,1.7308186292648315,27.594743728637695
1765552400.3897617,-18.295288,-7.2725534,1.5707659,0.0786175,-18.295952466969347,-7.349370849487393,1.5704663611358356,0.013598241639108036,0.013592663040385165,0.0003894703404865713,-0.07681742582495996,0.0006620401085231628,-0.0002994917923260232,-0.06502483523823269,-0.029916171,0.26798611187328775,1,5.9909820556640625,1.8375043869018555,25.457090377807617
1765552400.4391503,-18.295288,-7.2660265,1.5707659,0.08429655,-18.295841883127313,-7.347986133400945,1.5705025801266608,0.07414113370337035,0.07410674872818107,-0.0022577643276637865,-0.0819596533900794,0.0005512995628330932,-0.00026327280150084675,-0.01018979814824944,0.02975027,0.27669572941832654,1,5.37562370300293,1.8564910888671875,27.03141975402832
1765552400.4891193,-18.295288,-7.259505,1.5707659,0.08997097,-18.295930924214662,-7.344975840955752,1.5704655621875088,0.0312942180930542,0.03129394279687442,0.00013126416720710577,-0.08547106547105658,0.0006402336439641165,-0.0003002907406528532,-0.058677025866818056,0.070966184,0.30173411447466447,1,5.375862121582031,2.0621016025543213,27.409597396850586
1765552400.539424,-18.295288,-7.2529774,1.5707659,0.09565037,-18.29594479299643,-7.342647951693863,1.5705241517314905,0.02776688490863129,0.027766541982154884,-0.00013799957393580424,-0.08967060049044535,0.0006539744496770485,-0.0002417011966711069,-0.06788382545663829,0.014108067,0.3466439687715245,1,5.656003952026367,1.8301435708999634,28.069852828979492
1765552400.589443,-18.295288,-7.246451,1.5707659,0.10132884,-18.295695545661225,-7.340428799741915,1.5706664976917553,0.02264793295412087,0.02264039373198943,-0.0005843276091781919,-0.09397791112729352,0.0004045958538335286,-9.935523640636212e-05,-0.07868844860991045,-0.02914167,0.36128423913860225,1,5.675315856933594,1.6857198476791382,28.13264274597168
